Category,Title,Summary,URL
Macro & Politics,IMF Warns Iran War Will Lead to Higher Inflation and Weakened Global Economy - Democracy Now!,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxQMG5yR1ppSHkzZmFNY1d1S2JvRUNra2VoRy1SLW...",https://news.google.com/rss/articles/CBMiwgFBVV95cUxQMG5yR1ppSHkzZmFNY1d1S2JvRUNra2VoRy1SLW1HLU52OTNhLWVQdks2NmNxblBXaS1teWdTOVhYT2h0LU4wT2Q1YnFBTWZxaUNsV1VIZVRoZlZVXzhTYjBGNlhrS3JDQU4xbnRydFZYa1FJSXRPZUhxRDFQb0RzTkdmdWJtRG80RURfdElHWlVKWF96V1lUS1lLc1NUN3Y2b051WG1wMlFCb3BUSWVXOGxXUzNCdXBIT1NIalRyUVNVZw?oc=5
Macro & Politics,Iran War Ripples Through Global Economy - National Today,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxNNGN1alNWQ1JfZEVMWnF6SG9MMjZSbmdYVUJvZm...",https://news.google.com/rss/articles/CBMiowFBVV95cUxNNGN1alNWQ1JfZEVMWnF6SG9MMjZSbmdYVUJvZmJ1TEE0Y3Z3NzNpMTRVNmVPdjM5U2FnelJtcDBYVG1ZM2xORG9mRWF5YlRwU1UzUWNDeFZ1dEl5Z3ViNUdpZm0tZERGRWx3VkN1QTFaZERCWGt5R1o5YjVxdHJiZzQ2ZExYRkhVT1UzZlY1bTJiVUVBdmVrY2U5dFJFVEhuUUxJ?oc=5
Macro & Politics,World Bank says Nigerian economy to grow in 2026 but Iran war lifts inflation - Reuters,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxNUUVXUWdJMjFBNEhCWlBLNHFwN3h2WUx2eTJfUV...",https://news.google.com/rss/articles/CBMitwFBVV95cUxNUUVXUWdJMjFBNEhCWlBLNHFwN3h2WUx2eTJfUV8zalpiaDRzNENTMkRkN0xfLWxzbGszVkVfYVA5b3J6RjMxb0x0ODdjWkNjU1FYUFlWRGRJMUpqdjl1a3VCaEFwUy1BUV8tZzNHUnRvN1FVVzlaTzBGUTZjR0dHTHJVekJOVTNhYnByNmo5X1BpSnBvb2x6b1hyWC1xRVNrUUFiLTUzaW1rQTZUZm1vOVByYmI1VHc?oc=5
Macro & Politics,"Dallas Fed study shows how oil supply shocks could drive gas, inflation higher - Midland Reporter-Telegram","<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxPZzRmN0pRbXJhN0JHd29mcDN3VTlEWmlaRFVPQ0...",https://news.google.com/rss/articles/CBMikAFBVV95cUxPZzRmN0pRbXJhN0JHd29mcDN3VTlEWmlaRFVPQ0d5bEpvbk53MUhHSEdjdkpCSVhKd2dlQnpSSmxpWlRGaGpKRGJ4SWhhZzB5VG1iUlR4Sk9xR2hUd0hxQ180RTkzOV80UHFmb252bERVTU1uTEpxT2lKaXdGRGhiNzNGdlFMd3FKSUF6a1BXUjk?oc=5
Macro & Politics,The Strait of Hormuz Is Blocked: This Is What It Means for You - usnews.com,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQdHVXcHZQbFBydnhja2xHaGRtWEhFX0I5MGU3V2...",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQdHVXcHZQbFBydnhja2xHaGRtWEhFX0I5MGU3V25scm1CTVVTQV9QZTJGbXI1ay1mTkZ1dWxaN0c2OEhkaDRWTFdILWpPWUsyTXdXWkdBeEdtVDhJSENiTFM0ZktnUlFTV2IzM25GS3BVUjgwMElyVFQ4T0VDN1JveGhjTm9ZRjhZVFQyVU1VZi1VLU1OS2N4MEZzUHhVSUJNMThQbFFUNXNDSlJCLWR1WWFPTWxZaHBTVTZFTXhHVWs?oc=5
Macro & Politics,How Would Hormuz Toll Impact Global Economy? - Al Arabiya English,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxORlN4ZVBGZXY2T1l5N2hNX0l0a1FOTm94OWpwcV...",https://news.google.com/rss/articles/CBMinAFBVV95cUxORlN4ZVBGZXY2T1l5N2hNX0l0a1FOTm94OWpwcVBObzAwcE5XbFAtbjZwVjVJVkJGOGthV0xLZ3ltZXZpMy1zaWs3V250anBkZWp3REhXZ21HTGVpM3NkWnlTYVZVb1E5aEpTTXNjek1BaDUwT0ZfVlhrcEI3VEJPYmZMcUM2XzBfbTNVSEJuUXZraWdVRU1LYndXb0fSAaIBQVVfeXFMTU5IY3FpWHA5UVFHS0V3dDFZZHNMZGstWTlpV0VZd3l0WDc0dm9ZX3M3aWhzUHZ6VzZnakQ2X1ZQZWVfOGpxM2tibnhWek8xX0FjODRCbjh0UDZ0dGwyN0cwZWNLencxMlZqaGI4eENGMGcwUUhzTE0xaVNoY0w1bThGYVFLR3BLdTlJRDd1OC1UTDZiZVVyMmd2M043c1c2cEhn?oc=5
Macro & Politics,Oil and the world economy - MR Online,"<a href=""https://news.google.com/rss/articles/CBMiakFVX3lxTE9SUWhVbEJ3a0UxTVpQb3dUb1pYQm00VGNnTE9ZTi...",https://news.google.com/rss/articles/CBMiakFVX3lxTE9SUWhVbEJ3a0UxTVpQb3dUb1pYQm00VGNnTE9ZTi1UenBZcnJTOG56SjJJX3poNFYwQ3hVZTNnUkVUYUtGMmlQamlCdmFnNU1IVi1EZjhmT3NCdTUxcDdHeUE3cnFQOGYzQUE?oc=5
Macro & Politics,How China’s economic reset could reshape the UK’s future - geographical.co.uk,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxOT3NXYUozNU9EWEs5ME1xNmdrY2VQTkppZ201UV...",https://news.google.com/rss/articles/CBMijwFBVV95cUxOT3NXYUozNU9EWEs5ME1xNmdrY2VQTkppZ201UVBXWUN1eUZCaVRWR0Z0OHBQTlhLQ1NuM3QwMmpFM0VSRU1YWHhCdmVpdHFkOGtSTEZhaFoxdnhjZEtyd3J0cXYxYkt0di02Z29mb2NHcGM4U1NXanRvMFU0SjM4UENST3UxbEdsdUVZMnVZRQ?oc=5
Macro & Politics,"Bitcoin Falls Below $69,000 Amid Geopolitical Tensions - Coinspot.io","<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxPWlNEX19PYXZrTlFSWFgzVjBGMU9sMHFzazFHRz...",https://news.google.com/rss/articles/CBMijgFBVV95cUxPWlNEX19PYXZrTlFSWFgzVjBGMU9sMHFzazFHRzF1dWlpUnh0WXNwQ0ltdXU2bi12WE0tbTA5Zl9RUURYNHdZTEZEY2w2b3V0WVNBVHREdTRnaE1ENnZxMF9ncjlJN2tzTUJTT1E2SHpYTHpudlNadWhCQ09PSzJGOXRtRDhiUF9vWkxBZFV3?oc=5
Macro & Politics,"Mideast conflict to slow growth, raise inflation, World Bank says - Anadolu Ajansı","<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNYVVsYjNzWmVNeUUySVluQkFPMWJRQ3FuTi1ncU...",https://news.google.com/rss/articles/CBMipwFBVV95cUxNYVVsYjNzWmVNeUUySVluQkFPMWJRQ3FuTi1ncUNaZWJRQ0hmOTNRRVZqbnVoVm1HeEhSZ0FYS0hDenF3cHF6ODI4MUFJRlc3VmRBV3gtWlFDUmZPemJhOGZHWUhjV3VNZ1F2S1NLcV8yMVJSQTlxLWNlQnk2N2xrQ21XdEhCcUhxTmw5b0hxNGJpamNLOGVzdW12M3JjZXVHd3hzQkNMbw?oc=5
Crypto Markets,Spot Bitcoin ETF inflows top $471M but BTC is pinned under $70K: Here’s why - TradingView,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQTG04RTdOWUtvaGZNSEpuODdyLUhLU1lOd0Z1T0...",https://news.google.com/rss/articles/CBMi0gFBVV95cUxQTG04RTdOWUtvaGZNSEpuODdyLUhLU1lOd0Z1T0dNVVlhV0xJSUxLdWpDemJVZkhsRmFRRXl6bk1FcWc3WEZkSWNKVEI3Y2o0bld6TmdWOFpoX2pjSFJ3WkVrVEgyZWk3Rko0d2V0cjRMRVlacWk5NV90NHVCMEZUTnIxSUhVSXlfLW1JYTBwazEycVNHSC1WR1hiMERMM3dTM1JCUWV6dWVMakZZeTZnRWF0VnpwSmlIaXpObEQ1OGd1c2lZOUsxNFYtSDRWY2tBQkE?oc=5
Crypto Markets,Best Crypto to Buy in April 2026 While the Market Is in Extreme Fear - AOL.com,"<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTE45aFdMV2NzaUhJeDZfRHpMLTVIazAwczhjOW42Wm...",https://news.google.com/rss/articles/CBMiekFVX3lxTE45aFdMV2NzaUhJeDZfRHpMLTVIazAwczhjOW42Wm9teTcyUWdQay0yMDhpSjlMU3hkTDBWcE9HYWQ3SmdxTmQ1NUdOb2w5MWdwajU2OHVoQjVZUkkzaE9UZlhuOGZZNkEzYnVBR1NtSkJ1bVB6ZHVPSGNB?oc=5
Crypto Markets,Morgan Stanley Bitcoin ETF Expected Tomorrow as Massive Inflow Speculation Builds - Bitcoin.com News,"<a href=""https://news.google.com/rss/articles/CBMiqwFBVV95cUxQQ2cxLVdsOW5TY2JmZHhzZXpDeDRVUVowMzlzVH...",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQQ2cxLVdsOW5TY2JmZHhzZXpDeDRVUVowMzlzVHU5bXU1UGJ2YWt6cDE1ZXdNcS1aYU5WSW5sUmRXcjJhS2RMaTBXcUdCOEVpelJ4YnQ4V2VFTnREMFFIaFJQNVUzblNKMnUwQkcydi1SZGl6SUt1bmx3RS05VTFkdDc3Y1Q3NE5BN1BVWnJEMkoyTmZzOUF4LVNld2xvWGxXSGwzU3BCVHlud3M?oc=5
Crypto Markets,"Bitcoin ETF Inflows Hit $471 Million In A Day, The Highest Since February - CryptoRank","<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxPSkRSLUlXSXBCRnNlRmxMMENlajJ6VWE1WE56YT...",https://news.google.com/rss/articles/CBMirgFBVV95cUxPSkRSLUlXSXBCRnNlRmxMMENlajJ6VWE1WE56YTJkOGFMV1ZHbWRKTnd2ZXMyS0JFTVVFUmRHMlVGUXZUTnVMaTNfRUJ2TWR4bmh3MGk5MEkxMjFRX0J3ejB6dUtHc0hsdXI3NFVuS1NYRVhSN3NNdUhRRV9mT1J5NGVhT2lzcjBHYTNZNldrUGVTQUstVEVyVHJneVJrWnRnYmxlc2dSeE1uVnlvblE?oc=5
Crypto Markets,Crypto's $224 million inflow rebound was led by mostly one country and XRP - CoinDesk,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQNE5QVy11cC1rVl9OcUZYLW9jMEtXbEFiSHNCLW...",https://news.google.com/rss/articles/CBMivAFBVV95cUxQNE5QVy11cC1rVl9OcUZYLW9jMEtXbEFiSHNCLWszR2VKblpJNmN5SC15WVlQemotbm03OWxFaUdadHlEMHF5WUU0VUZyR1BKSFlFQmdTM29iTUJZZF9ncTdhSnB0akZJcTl6eG92RVJ4OXBfdVRvN2ZjbG85NGxHckZTLVQxTlpVYzRZMFUtSmQzam92aVdPWncwUWR6ekVPZVV1dFkzZmstWXdERXVjeTJFQnBMV1U4Ynl4aw?oc=5
Crypto Markets,Bitcoin ETFs Gain as Institutional Demand Continues to Support Flows - investing.com,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQM1F6RDhNb1dBWVctekRSM20xOHBOMUN0WGxzV1...",https://news.google.com/rss/articles/CBMiswFBVV95cUxQM1F6RDhNb1dBWVctekRSM20xOHBOMUN0WGxzV1VMRzVMVzhoaWNMaHhBcVR6bDY5Q1BQT0pvUmRNTl9mV2dtbk1tdnVhR0ZGTFhkanJKTm5ycGZZTzczY3NJNnQwdm14OElNQW5iQXl0OU5RUlIzQm5fczRSeTVheHV2eFBMeEh5M1lGNG9LLXV5TDU5MmRXMW15d0ptX0xWZlJ0STZjMDV6NEpIWWlNZlNiOA?oc=5
Crypto Markets,Crypto products return to inflows as markets show resilience amid geopolitical tensions - FXStreet,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxOWC0xMExMWXE4LU1aZ2lEbWgyQlN5b2NIZnFqWF...",https://news.google.com/rss/articles/CBMi4AFBVV95cUxOWC0xMExMWXE4LU1aZ2lEbWgyQlN5b2NIZnFqWFdZblRkZnFxYXdwT25FaWJKclM4UVZMZW45RTZTbExkdmZHaGRGTHZYRVZkZTdhb3p6X2Y4YUZiOS1zNUV4cExLaGlMMW51S01fUm8zVDNFQ0xhenp5UGx5N3EyVHRYQ25LcHdJNmgzWEhVOXRHem1WSm9VNDdDOGFEODFKSEpUUVFPVV91eFFKVzdvRTQ2SUhIRnFzOWptVVBUdm9EakxMOVlncl9IVFU3b2htbEQtcS1pYVBTNV85ZzlUMdIB5gFBVV95cUxNMW9Fdl9KSFJ5NTRtQl9oZjJpdmRQTGx6N2pVN1RwbXB0bXJ1OU9DTEV4U1Ywc3ZhVTExMEM1MWw5aDA3RkxzMFI2M3VlRWZxQlpvM2dnblJndmlOeVhhdEtJOVpxMHNfdHY0UG9qR1FKT1dnV3JzVUVBaUFjUmFvMkdXd3lmMU5oaEllbU11WnlLVGxSQmJhZXJoS3pxa1lNZ2lpclY2dWFucE11Szh1UlQ5dnZmRFJnLXRuSFhvLU9JRERQY2huMXhkOXgzMnRiN1llNjJUaFpaNFdnaTVNVHI3Y2JPUQ?oc=5
Crypto Markets,Bitcoin ETF inflows hit highest level since February - CoinDesk,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxOeW4ySXVRV0xfNWJ0YndSSnBNQTVFSzVFRG5YYU...",https://news.google.com/rss/articles/CBMinAFBVV95cUxOeW4ySXVRV0xfNWJ0YndSSnBNQTVFSzVFRG5YYU1QYU9NT0JtMUIyZ0dZZDVLOUVKRjlzaU1KWXBYOXRtQVN5X1ZQbEZPTFhxLUljVllwaE5yT0F1ZzJ1N3JGMmc2V0V6RFJfZ1RBc2RxcENxemdzZHJDTzFDSDVyOFVLR3htU2IxQURkYUs5UTgzUzZZcVFucEM2S3Y?oc=5
Crypto Markets,Bitcoin ETF Inflows Hit $471 Million As Trump's Iran Deadline Nears Expiry - Benzinga,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOQnVTLTliQ0FNcUVhOElBSlNQRV9LLVEzUzlZN0...",https://news.google.com/rss/articles/CBMizwFBVV95cUxOQnVTLTliQ0FNcUVhOElBSlNQRV9LLVEzUzlZN0Y3cGd5aXphTDJ5UGVha3piWmJ1dkZvWmZsbkNZVm5XQW1YRVpjbzZVX29GaEI2bmF4V1gzZjlnSFJfa3lmTGN4d0VDOFEwVnJiYkpKdEJfX3VRbXpyZ085WllPUlR1VGh3M0NDeDcxMldyRWZvNTNxczZ4VWRWUU1KVXB0UGRHamtYTml4WWZ3MWM2MF9WVV9DYnk4RXVuSjhlc090eXNXb1g3eEt3eGczVVk?oc=5
Crypto Markets,Bitcoin ETF Inflows Reach $471M - Bitcoinsensus,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQOTFWeWo0THFwdDJydXhWZWlvMkZtWnFyWERzRX...",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQOTFWeWo0THFwdDJydXhWZWlvMkZtWnFyWERzRXNEWjhKMDMxa2psQ0gyRGJJQzJmZGljZmlBUEdvNWpKdml1bWpTaG50cjZCbmI1bVd3OGNyc0VxVDc2dWYtM2ZobXZUSDlfOVdPS3p1SzVVZm41Z1JWS3VFRk9nd1NkbkhQdnJwdGt1c2tXNmNzTHU5TjRmWm9aUU4yeUN3aEw5eEZlSmZldw?oc=5
Regulation & Legal,SEC’s crypto safe harbor proposal moves to White House review stage - Crypto Briefing,"<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTE1CR1dRTzNYWGtTOWVacEc5eXBhNWJYaTFNUTF4dU...",https://news.google.com/rss/articles/CBMicEFVX3lxTE1CR1dRTzNYWGtTOWVacEc5eXBhNWJYaTFNUTF4dUh3VnNVeVdHTlRSbWlPMzNiYkpoeUtYMTdCVDJPVlRjZ1AySzN3Tk4yRXZpSDI3R2NUcHAwSzNfcUtfUVRST3lZTVdlWDRGMmhNTmM?oc=5
Regulation & Legal,"SEC's ""Reg Crypto"" Initiative: Does It Bring Transparency or Add Extra Regulatory Burden? - Bitget","<a href=""https://news.google.com/rss/articles/CBMiY0FVX3lxTE0xVWQ1bUZmcDZDRnhua3k5QUVwa3oxQndVNjcxNn...",https://news.google.com/rss/articles/CBMiY0FVX3lxTE0xVWQ1bUZmcDZDRnhua3k5QUVwa3oxQndVNjcxNnhmc0JUZzZvOEE4djRZbVdzSXUzVWsyRURmU09jUUpIVDB5RmFReV9YM04yN2JwdG9OUmtJQjZ4cVFLRXd2MNIBY0FVX3lxTE0xVWQ1bUZmcDZDRnhua3k5QUVwa3oxQndVNjcxNnhmc0JUZzZvOEE4djRZbVdzSXUzVWsyRURmU09jUUpIVDB5RmFReV9YM04yN2JwdG9OUmtJQjZ4cVFLRXd2MA?oc=5
Regulation & Legal,Crypto market safe harbor lands at White House for review - Cryptonews.net,"<a href=""https://news.google.com/rss/articles/CBMiVkFVX3lxTE8zdlN2TmlwQVZOTF81ZVBpVUNqQkhhSUFWQy11VC...",https://news.google.com/rss/articles/CBMiVkFVX3lxTE8zdlN2TmlwQVZOTF81ZVBpVUNqQkhhSUFWQy11VC1TUDh5VUNkdms3bGNwYi1yeVNJX09rWTRqT2NibzZycFFlckJLa0lmMjVsdDV4VU93?oc=5
Regulation & Legal,XRP Price Hinges on Senate CLARITY Act — Why This Bill Matters - TradingView,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxOY1JzMEpkdmdyYzZLRDcyVzZCWXY5OEt6d09YWl...",https://news.google.com/rss/articles/CBMivgFBVV95cUxOY1JzMEpkdmdyYzZLRDcyVzZCWXY5OEt6d09YWlpZU1hZZFZhejZrNXRWUGtwSU5ZMkZWZHhWMmtuajUxVzl5SHh6TVVKc21rSW1Ra3NjaVh0OVQ4c3QwWGprMVlrbDZUS1hFSjE1b0UyQ2ZZZ01Rem1CRUo3RmhrRE5kNDlfQkZ0YVg1cU9MSVQyNUJkaE5FOUVsSlpWaExiVUptaTJLdGllLUhqYU16Y0ZnYkF4cVFLelZZTkZB?oc=5
Regulation & Legal,US SEC Proposes Own Crypto Fundraising Rules Apart from Exemption in CLARITY Act - CoinGape,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxQZ3pTNU1qc0RBbS1oT3VqUXdjclg2QjBfMzM5bk...",https://news.google.com/rss/articles/CBMimgFBVV95cUxQZ3pTNU1qc0RBbS1oT3VqUXdjclg2QjBfMzM5bkJOYXpJZVFPSHFmWEp0M25zVHgzdVN4dW9pTGRVbzhXc08yTXVLV1BnUVhqdmNfbkpSRVk0d25rZzJJZHZ4WTZKZ2g2bGJ3eE1ZN1J5d1N1REhZRWN4ZmRLeUtBT0syUm44SEZzUVRoaWxjTHZKbWYxRm90Nzhn?oc=5
Regulation & Legal,"XRP winning institutional interest amid Clarity Act momentum, insiders say. So why's the price down? - dlnews.com","<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxNVGR3Q25tOGtiX1Vxd29UWHVObVNOLWxWbzNOeW...",https://news.google.com/rss/articles/CBMiogFBVV95cUxNVGR3Q25tOGtiX1Vxd29UWHVObVNOLWxWbzNOeWtGc01MbGlTS0lOYmlLNGlnQ3VDeWRfejFpRDl5c085eDltcFBkcHNpdVRxYW1taWVQYlVqM3lJR3lIdEF1T0NvMEVmQXlOeC1zOG9HZ2NQN2tKVHN1MFFHamNoUlZRSzR2bVdlaGJpZTY2UzhERUx4WEtnVVV1ZF9PNVlCdWc?oc=5
Regulation & Legal,Crypto Regulation News: Legal Expert Calls Drift Incident Civil Negligence Case - The Coin Republic,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxPd1NLbUlRZ3hVQWliOWJLeUhfZktUdUNzQlkteV...",https://news.google.com/rss/articles/CBMivwFBVV95cUxPd1NLbUlRZ3hVQWliOWJLeUhfZktUdUNzQlkteVpBTU5jT19YbUw4dHcyTk8ySk9tMXBlejZZNzV5SEszTER5UURxYk1fb3ptOUhYME5odW5FczlRX3pPQkNkQnNLanpfcy1ZekRjNjFCZUR5eFY0c2pRSG9PQVNZRFpNQ0ZPNkdUR3dWVDFnZ0ZNeGVjTDQ0MWdlYlN3ZklLeHk5dW9TcGwyXzNXejVRTks3TU1XcnpBekg4aWlmQdIBxAFBVV95cUxQc2FUSjFMUUpKcTlrR3VOS2ZQRTYwX3BUX2ZzOHVMWUkxak5lZUlEVXhOaFJRZW9qWUZxWTRCMFkxOXhVSWxMcTl6UzZNVWVVcVd1SzUxdFc3NG43ak9FOUV6TDZnYWF1eXp5dnFYdGRxYThRY29WYTVaZlFDcnUzWi1oSVJPc2J3Y3BpUExDZkd4c1lZSXdCLUx5TzVKZXQxRFZHTGNUOUVDUVFBWU4zLTNCN25GbjBMc3lhUEs1Z3hXSXli?oc=5
Regulation & Legal,SMSFs to benefit as crypto regulation moves one step closer - SMSF Adviser,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxNU2lTOGM2WTlnRW1hdVNLRkJORFVXYkJzSXhRWm...",https://news.google.com/rss/articles/CBMikgFBVV95cUxNU2lTOGM2WTlnRW1hdVNLRkJORFVXYkJzSXhRWmd6anZKSTY5M1QtZTlJZkk5MzJPRm5maTZsbndoaWY5TWRnbW9rcGYxVE9vQ1RITjBJY1NONUZmZ3Z0bEl2aXpnOU00akZxWnNuMUs3Q0pfT0JUMnl1TFA2RDZWVFkwT3VncDFrZE90bmhsTzg3Zw?oc=5
Regulation & Legal,Did Washington’s ten-day XRP regulation pivot reshape the US digital asset landscape? - The Cryptonomist,"<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE94a0ZYUWpNdkljZWp4RW0tSVpHaV9DUFN3RFJnbj...",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE94a0ZYUWpNdkljZWp4RW0tSVpHaV9DUFN3RFJnbjctR3o1LWprYW5uZXF4b2RieG5lOXNVMFR6bjU3bG1Bbk80SVRkdUp6MDk5RXF4U3lQTElsNjFBTzBmSTFuN3ZZRW8?oc=5
